minimum_score,minimum_margin,accuracy,macro_f1,reliable_count,override_count,helpful_overrides,harmful_overrides
0.0,0.22,0.9722222222222222,0.9721561812731737,342,26,21,4
0.0,0.2,0.9694444444444444,0.969391725926204,346,27,21,5
0.0,0.15,0.9694444444444444,0.969391725926204,353,29,22,6
0.0,0.1,0.9694444444444444,0.969391725926204,354,29,22,6
0.0,0.0,0.9694444444444444,0.9693843983331598,360,31,23,7
0.0,0.4,0.9694444444444444,0.9693646290428932,309,21,18,2
0.0,0.3,0.9694444444444444,0.9693646290428932,327,23,19,3
0.0,0.25,0.9694444444444444,0.9693646290428932,335,23,19,3
0.0,0.5,0.9611111111111111,0.961032496367692,274,17,15,2
0.0,0.6,0.9583333333333334,0.958231351981352,230,14,13,1
10.0,0.15,0.9555555555555556,0.9555324183366857,299,11,11,0
10.0,0.1,0.9555555555555556,0.9555324183366857,299,11,11,0
10.0,0.22,0.9527777777777777,0.9527384247950932,296,10,10,0
10.0,0.2,0.9527777777777777,0.9527384247950932,297,10,10,0
10.0,0.0,0.9527777777777777,0.9527384247950931,300,12,11,1
10.0,0.5,0.95,0.9499426873290849,254,9,9,0
10.0,0.4,0.95,0.9499426873290849,280,9,9,0
10.0,0.3,0.95,0.9499426873290849,288,9,9,0
10.0,0.25,0.95,0.9499426873290849,292,9,9,0
10.0,0.6,0.9472222222222222,0.9471446817715748,217,8,8,0
15.0,0.5,0.9472222222222222,0.9471446817715748,245,8,8,0
15.0,0.4,0.9472222222222222,0.9471446817715748,267,8,8,0
15.0,0.3,0.9472222222222222,0.9471446817715748,272,8,8,0
15.0,0.25,0.9472222222222222,0.9471446817715748,274,8,8,0
15.0,0.22,0.9472222222222222,0.9471446817715748,276,8,8,0
15.0,0.2,0.9472222222222222,0.9471446817715748,276,8,8,0
15.0,0.15,0.9472222222222222,0.9471446817715748,276,8,8,0
15.0,0.1,0.9472222222222222,0.9471446817715748,276,8,8,0
15.0,0.0,0.9472222222222222,0.9471446817715748,276,8,8,0
18.0,0.5,0.9444444444444444,0.944360305483187,237,7,7,0
18.0,0.4,0.9444444444444444,0.944360305483187,257,7,7,0
18.0,0.3,0.9444444444444444,0.944360305483187,262,7,7,0
18.0,0.25,0.9444444444444444,0.944360305483187,263,7,7,0
18.0,0.22,0.9444444444444444,0.944360305483187,263,7,7,0
18.0,0.2,0.9444444444444444,0.944360305483187,263,7,7,0
18.0,0.15,0.9444444444444444,0.944360305483187,263,7,7,0
18.0,0.1,0.9444444444444444,0.944360305483187,263,7,7,0
18.0,0.0,0.9444444444444444,0.944360305483187,263,7,7,0
15.0,0.6,0.9444444444444444,0.9443438828437267,210,7,7,0
18.0,0.6,0.9416666666666667,0.9415595065553388,206,6,6,0
35.0,0.5,0.9361111111111111,0.9360746448959656,194,4,4,0
25.0,0.5,0.9361111111111111,0.9360746448959656,213,4,4,0
35.0,0.4,0.9361111111111111,0.9360746448959656,203,4,4,0
25.0,0.4,0.9361111111111111,0.9360746448959656,226,4,4,0
35.0,0.3,0.9361111111111111,0.9360746448959656,204,4,4,0
25.0,0.3,0.9361111111111111,0.9360746448959656,228,4,4,0
35.0,0.25,0.9361111111111111,0.9360746448959656,204,4,4,0
25.0,0.25,0.9361111111111111,0.9360746448959656,228,4,4,0
35.0,0.22,0.9361111111111111,0.9360746448959656,204,4,4,0
25.0,0.22,0.9361111111111111,0.9360746448959656,228,4,4,0
35.0,0.2,0.9361111111111111,0.9360746448959656,204,4,4,0
25.0,0.2,0.9361111111111111,0.9360746448959656,228,4,4,0
35.0,0.15,0.9361111111111111,0.9360746448959656,204,4,4,0
25.0,0.15,0.9361111111111111,0.9360746448959656,228,4,4,0
35.0,0.1,0.9361111111111111,0.9360746448959656,204,4,4,0
25.0,0.1,0.9361111111111111,0.9360746448959656,228,4,4,0
35.0,0.0,0.9361111111111111,0.9360746448959656,204,4,4,0
25.0,0.0,0.9361111111111111,0.9360746448959656,228,4,4,0
50.0,0.5,0.9333333333333333,0.9332911227069411,152,3,3,0
50.0,0.4,0.9333333333333333,0.9332911227069411,157,3,3,0
50.0,0.3,0.9333333333333333,0.9332911227069411,157,3,3,0
50.0,0.25,0.9333333333333333,0.9332911227069411,157,3,3,0
50.0,0.22,0.9333333333333333,0.9332911227069411,157,3,3,0
50.0,0.2,0.9333333333333333,0.9332911227069411,157,3,3,0
50.0,0.15,0.9333333333333333,0.9332911227069411,157,3,3,0
50.0,0.1,0.9333333333333333,0.9332911227069411,157,3,3,0
50.0,0.0,0.9333333333333333,0.9332911227069411,157,3,3,0
35.0,0.6,0.9333333333333333,0.933270525878191,172,3,3,0
25.0,0.6,0.9333333333333333,0.933270525878191,185,3,3,0
75.0,0.6,0.9305555555555556,0.9304870036891667,92,2,2,0
50.0,0.6,0.9305555555555556,0.9304870036891667,138,2,2,0
75.0,0.5,0.9305555555555556,0.9304870036891667,99,2,2,0
75.0,0.4,0.9305555555555556,0.9304870036891667,101,2,2,0
75.0,0.3,0.9305555555555556,0.9304870036891667,101,2,2,0
75.0,0.25,0.9305555555555556,0.9304870036891667,101,2,2,0
75.0,0.22,0.9305555555555556,0.9304870036891667,101,2,2,0
75.0,0.2,0.9305555555555556,0.9304870036891667,101,2,2,0
75.0,0.15,0.9305555555555556,0.9304870036891667,101,2,2,0
75.0,0.1,0.9305555555555556,0.9304870036891667,101,2,2,0
75.0,0.0,0.9305555555555556,0.9304870036891667,101,2,2,0
100.0,0.6,0.9277777777777778,0.9277002646180346,53,1,1,0
100.0,0.5,0.9277777777777778,0.9277002646180346,57,1,1,0
100.0,0.4,0.9277777777777778,0.9277002646180346,57,1,1,0
